idTweet	hashtag	hashtagBrut	indiceStart	indiceEnd
671748632434053120	socionoel	SocioNoel	106	116
671978282762432512	socionoel	SocioNoel	97	107
671976662251274240	socionoel	SocioNoel	63	73
671975980685242368	socionoel	SocioNoel	16	26
671975980685242368	culturalstudies	culturalstudies	99	115
671650125563994113	socionoel	SocioNoël	30	40
671974976837320704	socionoel	SocioNoël	0	10
671974976837320704	genre	genre	41	47
671973897626066944	culture	culture	74	82
671973897626066944	socionoel	SocioNoel	84	94
671973897626066944	mustread	mustread	95	104
671973545912725504	socionoel	SocioNoel	0	10
671972289899044864	socionoel	SocioNoel	26	36
671971334428184576	socionoel	SocioNoel	26	36
671969184297918464	socionoel	SocioNoel	0	10
671968354496811008	socionoel	SocioNoel	37	47
671967140346507264	socionoel	SocioNoel	24	34
671967140346507264	anthroponoel	anthroponoel	68	81
671968269583179776	socionoel	SocioNoel	37	47
671968226100838400	socionoel	SocioNoël	98	108
671968226100838400	day2	Day2	109	114
671967708297240576	socionoel	SocioNoel	0	10
671964593607036928	socionoel	SocioNoel	0	10
671963062891651072	socionoel	SocioNoël	0	10
671961049491447808	socionoel	SocioNoel	47	57
671844345201434625	socionoel	SocioNoel	38	48
671826657204899840	socionoel	SocioNoel	13	23
671826657204899840	excusesociologiques	excusesociologiques	88	108
671826657204899840	valls	Valls	112	118
671793417438035971	socionoel	SocioNoël	12	22
671764059197464576	socionoel	SocioNoël	43	53
671752871294189571	socionoel	SocioNoel	8	18
671741699635458049	socionoel	SocioNoel	82	92
671954466254532608	socionoel	SocioNoel	0	10
671953788215914500	socionoel	SocioNoel	76	86
671934591335317504	socionoel	SocioNoel	63	73
671828567135776768	socionoel	SocioNoël	2	12
671824878920683520	socionoel	SocioNoel	15	25
671821435447316480	socionoel	SocioNoel	119	129
671811354827874305	socionoel	SocioNoel	99	109
671809528640503811	socionoel	socionoel	46	56
671795520051027970	socionoel	SocioNoel	0	10
671784170708975617	socionoel	SocioNoel	52	62
671784170708975617	anthroponoel	AnthropoNoel	85	98
671783451746394112	socionoel	SocioNoel	128	138
671774446135455745	socionoel	SocioNoel	81	91
671766475171041286	socionoel	SocioNoel	0	10
671766102209380356	socionoel	socionoel	14	24
671765810986287108	socionoel	SocioNoel	0	10
671754952629424128	socionoel	SocioNoel	16	26
671748321007042561	socionoel	socionoël	27	37
671746473890095105	socionoel	SocioNoel	41	51
671746473890095105	dauphins	dauphins	52	61
671746473890095105	tumetonnequepbnapaseusuccesenitalie	tumetonnequePBnapaseusuccesenItalie	62	98
671746473890095105	reception	reception	99	109
671746348018864128	socionoel	socionoel	0	10
671746292368998401	socionoel	socionoel	0	10
671745107553595392	socionoel	SocioNoel	43	53
671745107553595392	l1staps	L1Staps	101	109
671743664268386305	socionoel	SocioNoel	0	10
671742644662493184	socionoel	SocioNoel	0	10
671742085737902081	socionoel	SocioNoel	0	10
671742071112380416	socionoel	SocioNoel	0	10
671741694379978753	socionoel	SocioNoel	59	69
671741597244071937	socionoel	SocioNoel	0	10
671741509906092033	socionoel	SocioNoel	46	56
671741021781401600	socionoel	SocioNoel	14	24
671741263482363904	socionoel	SocioNoel	4	14
